"Nombre_archivo_neris","Procedencia","Biosample","type","type2","Organization","PublicationDate","Isolation_source","Collection_date_ORG","Lat","Lon","City","Country","Continent","Bioproject","Collection_year","Collection_month","Collection_day"
"GCF_002247885.1",NA,"SAMN07450623","NCBI","BD","JCVI","2017/08/04","Human",2014-11-20,"18.5744606","99.0087221"," Lamphun","Thailand","Asia","PRJNA389557",2014,11,20
"GCF_002247895.1",NA,"SAMN07450682","NCBI","BD","JCVI","2017/08/04","Human",2014-11-20,"18.5744606","99.0087221"," Lamphun","Thailand","Asia","PRJNA389557",2014,11,20
"GCF_002248045.2",NA,"SAMN07450607","NCBI","BD","JCVI","2017/08/04","Animal",2016-08-11,"13.6904194","101.0779596"," Chachoengsao","Thailand","Asia","PRJNA389557",2016,8,11
"GCF_002248105.2",NA,"SAMN07450603","NCBI","BD","JCVI","2017/08/04","Animal",2016-10-04,"13.8140293","100.0372929"," Nakhon Pathom","Thailand","Asia","PRJNA389557",2016,10,4
"GCF_002248115.2",NA,"SAMN07450602","NCBI","BD","JCVI","2017/08/04","Animal",2016-11-04,"13.8140293","100.0372929"," Nakhon Pathom","Thailand","Asia","PRJNA389557",2016,11,4
"GCF_002248425.1",NA,"SAMN07450704","NCBI","BD","JCVI","2017/08/04","Human",2016-02-18,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,2,18
"GCF_002248435.1",NA,"SAMN07450703","NCBI","BD","JCVI","2017/08/04","Human",2016-03-11,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,3,11
"GCF_002248485.1",NA,"SAMN07450702","NCBI","BD","JCVI","2017/08/04","Human",2016-11-08,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,11,8
"GCF_002248505.1",NA,"SAMN07450698","NCBI","BD","JCVI","2017/08/04","Human",2016-09-07,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,9,7
"GCF_002248545.1",NA,"SAMN07450697","NCBI","BD","JCVI","2017/08/04","Human",2016-06-19,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,6,19
"GCF_002248585.1",NA,"SAMN07450696","NCBI","BD","JCVI","2017/08/04","Human",2016-10-07,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,10,7
